origin,destination,euclidean,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths,nb_paths
27366824#0,352150498#0,1.8096980873712587,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
24957461#0,411451801#3,12.72109641661803,1.0,17.0,249.0,1084.0,2681.0,4466.0,6288.0,7905.0,9280.0,10385.0,15001
24579918#0,202760015#0,1.8968431456050776,4.0,10.0,32.0,111.0,221.0,377.0,570.0,798.0,933.0,1033.0,1175
443057092,651146374#0,1.7793460297431898,3.0,7.0,8.0,8.0,8.0,9.0,11.0,13.0,19.0,34.0,1049
734002870#0,23005141#0,1.9178793483964185,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
638029791,24652541#5,1.8641202624234048,16.0,64.0,310.0,833.0,1731.0,2818.0,3918.0,4769.0,5335.0,5654.0,5982
732252230#1,425366256,1.471019248354097,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
656492050#8,-27716622#3,2.471441526441041,0.0,0.0,0.0,27.0,115.0,347.0,828.0,1472.0,1974.0,2233.0,2627
-42246096,-27022471#0,5.199277434717335,102.0,370.0,1331.0,2509.0,3815.0,5122.0,6368.0,7383.0,8357.0,9230.0,12742
590848307#0,24695191#0,6.2667683550214655,33.0,411.0,1554.0,3597.0,6146.0,8497.0,10333.0,11600.0,12501.0,13165.0,14994
-676644892#1,-542317100#2,1.6113004294756283,15.0,56.0,119.0,261.0,513.0,833.0,1161.0,1507.0,1946.0,2436.0,4795
25314977,27623929#2-AddedOnRampEdge,4.479398835601529,0.0,0.0,1.0,89.0,325.0,688.0,1475.0,2764.0,4067.0,4929.0,5461
107540260#0,-29072306#1,5.055636309127514,170.0,1112.0,3096.0,5423.0,7921.0,10251.0,11862.0,12973.0,13735.0,14204.0,14654
954217028,8065899,1.2475358847742748,18.0,50.0,95.0,134.0,170.0,218.0,293.0,385.0,460.0,509.0,656
1058372560#1,-43138034#1,1.8047698293943844,22.0,153.0,565.0,1264.0,1878.0,2432.0,3130.0,3509.0,3615.0,3644.0,3655
-397081478#1,27022403,2.1723697176423453,3.0,16.0,27.0,29.0,31.0,31.0,50.0,80.0,82.0,82.0,82
29189453,599226364,2.297859789980775,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
25314977,25314635#4,1.7230647188567028,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
27588045#2,589896785,10.189723958610262,5.0,95.0,704.0,2366.0,4776.0,7471.0,10053.0,11963.0,13259.0,13992.0,15001
671809170#3,-27366829#8,1.8958591777357552,6.0,14.0,19.0,23.0,28.0,35.0,55.0,78.0,105.0,134.0,307
29189372#0,179311989,5.258610639350171,611.0,2345.0,4170.0,5993.0,7751.0,9332.0,10715.0,11874.0,12782.0,13507.0,14674
-28836171#1,205385764#0,1.4410497769839852,73.0,125.0,188.0,216.0,235.0,235.0,235.0,235.0,235.0,235.0,235
843425328,-26844008#5,1.84893113420458,2.0,13.0,35.0,64.0,121.0,217.0,316.0,428.0,592.0,738.0,3056
29189452#0,28905429,3.979404368504368,161.0,877.0,2506.0,4772.0,7169.0,9209.0,10626.0,11376.0,11730.0,11882.0,11937
25314977,27623939#0,4.475047952544559,519.0,1773.0,3583.0,6022.0,8184.0,9988.0,11365.0,12138.0,12478.0,12606.0,12736
-81467006#2,-25196719#8,2.9998136480306794,106.0,807.0,1974.0,2999.0,4102.0,5576.0,7023.0,8244.0,9201.0,9809.0,10513
28905432#0,-386635688#1,1.35903848848584,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
-27647149#1,27623929#2,2.092192378337308,5.0,9.0,13.0,20.0,38.0,65.0,112.0,169.0,289.0,436.0,2198
204521194#2,23005117#1,2.840631762491748,0.0,60.0,343.0,686.0,883.0,963.0,1020.0,1062.0,1063.0,1063.0,1063
4414036#0,24880750#0,1.9942829465485028,10.0,20.0,33.0,48.0,112.0,227.0,392.0,520.0,611.0,667.0,798
30095664-AddedOnRampEdge,599226364,2.1047880868009936,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
30453877,630280787,2.4313431538820542,0.0,0.0,0.0,0.0,0.0,2.0,5.0,11.0,17.0,25.0,33
576465698#0,-42784304#1,4.439338721166533,711.0,2229.0,3663.0,4519.0,5512.0,6648.0,7855.0,9073.0,10338.0,11510.0,14180
273667536#0,24919064#0,2.998711616434213,356.0,1401.0,3387.0,6118.0,9015.0,11350.0,12897.0,13729.0,14176.0,14407.0,14538
-871732560#1,686501664#0,1.6222831472732764,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
-582373785#12,27623929#2,3.0648731229223376,12.0,53.0,82.0,165.0,497.0,1146.0,2040.0,2992.0,3781.0,4446.0,5495
-181202152,119745446,1.7789864564574025,7.0,16.0,22.0,26.0,59.0,150.0,256.0,337.0,375.0,377.0,377
30453877,25334433#0,2.1058787054520915,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
26809871#0,-561074654#5,1.270094433343095,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
843932181#0,658442405,1.951273640271946,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
-25314493#2,28905432#0,1.2998875140457051,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
26682439,348439788#0,4.384419651643399,20.0,101.0,188.0,518.0,1845.0,2894.0,3634.0,4611.0,5195.0,5384.0,5445
42679977#0,28235681,2.248144289154996,220.0,1551.0,4077.0,7066.0,9442.0,10911.0,11592.0,11871.0,11957.0,11975.0,11981
-224928151#3,431300057#0,4.697133276263503,38.0,696.0,1818.0,3228.0,4392.0,5130.0,5516.0,5680.0,5759.0,5776.0,5781
29189452#0-AddedOffRampEdge,27647149#1,2.044880095040917,1.0,2.0,7.0,13.0,16.0,28.0,41.0,52.0,56.0,69.0,1083
642888620#0,217018443#0,8.50729813796998,6.0,70.0,366.0,929.0,1669.0,2433.0,3323.0,4279.0,5355.0,6639.0,15001
29189453,576465698#0,5.403718831686223,409.0,1474.0,2761.0,3976.0,5205.0,6551.0,7873.0,9108.0,10227.0,11214.0,14905
91875266,765685613#1,1.6827365388773203,18.0,52.0,94.0,143.0,236.0,345.0,448.0,509.0,581.0,650.0,1126
-27588409#1,8055217#3,4.986534881169204,316.0,1902.0,4236.0,6518.0,8438.0,9910.0,10842.0,11331.0,11546.0,11659.0,11726
29189452#0-AddedOffRampEdge,-471302983#4,1.9411310443276608,3.0,3.0,7.0,30.0,54.0,80.0,126.0,188.0,286.0,401.0,1910
28534337,25162686#8,1.3596948319752626,8.0,20.0,39.0,50.0,63.0,72.0,83.0,87.0,89.0,89.0,89
30095664-AddedOnRampEdge,27623929#2-AddedOnRampEdge,4.413770486722324,0.0,0.0,0.0,47.0,288.0,811.0,2171.0,4158.0,6230.0,7723.0,9202
29189453,425366256,4.875478990083113,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
674283383,8055217#3,1.3188201307380223,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
652731625#0,-179311997,7.384597439379517,241.0,916.0,2233.0,4412.0,6914.0,9389.0,11286.0,12622.0,13404.0,13852.0,14292
