origin,destination,euclidean,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths,nb_paths,theta
240289096,267716685#0,3.9404735053128346,18.0,85.0,251.0,577.0,1137.0,2197.0,3655.0,5247.0,6824.0,7995.0,10001,0.9132801310026125
273909489#0,-117421469#1,3.0700027901553617,28.0,212.0,867.0,2078.0,3788.0,5535.0,7138.0,8311.0,9022.0,9463.0,9989,0.4306036846316347
264526650#0,26702701#0,2.6158822419184387,75.0,275.0,497.0,1022.0,1716.0,2739.0,3978.0,5085.0,6076.0,6872.0,8237,0.9317639389119955
24692888#0,263347690#0,4.671130560182107,13.0,128.0,376.0,834.0,1570.0,2600.0,3910.0,5311.0,6750.0,7946.0,9995,0.2399280047553232
272651839#0,4858693#0,2.2018249391310385,185.0,1572.0,3302.0,4061.0,4468.0,5354.0,6387.0,6937.0,7170.0,7265.0,7318,0.7946460818986422
252418522#0,275209595#0,4.029134915835017,60.0,207.0,459.0,862.0,1386.0,1980.0,2698.0,3540.0,4541.0,5496.0,9994,0.5893281072430677
26702701#0,272654787#0,1.5528369488536564,8.0,42.0,127.0,284.0,531.0,817.0,1091.0,1338.0,1593.0,1808.0,2296,0.4692623345703823
240289096,173087862#0,3.925751116787886,37.0,298.0,865.0,1632.0,2645.0,3763.0,4903.0,5994.0,6923.0,7696.0,9999,0.5789976107891612
41773063#0,7980623#0,1.9354371492017497,160.0,1199.0,3354.0,5467.0,6841.0,7533.0,7755.0,7830.0,7844.0,7846.0,7846,0.7384551637894613
23634535#0,202050743,12.36844991374482,1.0,1.0,74.0,428.0,1188.0,2259.0,3397.0,4499.0,5529.0,6474.0,10001,0.8107769374727904
286583306#0,274977514#0,2.629288734664033,223.0,1357.0,3108.0,4981.0,6440.0,7537.0,8258.0,8683.0,8881.0,8962.0,9038,0.9999734434440944
273909489#0,28683825#0,1.304011755471479,79.0,153.0,231.0,576.0,865.0,1096.0,1393.0,1649.0,1784.0,1848.0,1936,0.21245842210338614
59310725#0,-43079541#5,7.3000706175577506,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.23604018374842203
-5110309#2,-23729238#2,2.640322115191547,26.0,94.0,245.0,627.0,1282.0,2081.0,2853.0,3612.0,4430.0,5292.0,8981,0.865252103429141
59310725#0,22958746,19.59617095788331,1.0,2.0,27.0,223.0,694.0,1589.0,2899.0,4484.0,6231.0,7755.0,10001,0.8408134661424067
-201671810#0,25941521#3,16.305479437232982,1.0,1.0,39.0,270.0,1068.0,2574.0,4740.0,6835.0,8403.0,9325.0,10001,0.509337087458976
