origin,destination,euclidean,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths,nb_paths,theta
159915376#2,273656458#0,3.734406733469085,381.0,981.0,1705.0,2702.0,4037.0,5822.0,7380.0,8415.0,8906.0,9201.0,9692,0.5579064742638141
799107046#0,-80397754#8,5.135376230100737,25.0,294.0,1106.0,2445.0,4221.0,6081.0,7515.0,8529.0,9153.0,9551.0,10001,0.9123690208237913
-705573917,-27202659#8,4.21855797564627,535.0,2583.0,4891.0,5965.0,6877.0,7542.0,7945.0,8142.0,8244.0,8299.0,8338,0.5995986562092351
-886571928#1,46201350#0,4.542499200703165,65.0,304.0,771.0,1369.0,2038.0,2782.0,3572.0,4289.0,4953.0,5628.0,9813,0.6919266424756655
305428846#1,24605118#0,4.388087000091435,113.0,508.0,1293.0,2286.0,3252.0,4221.0,5269.0,6332.0,7238.0,7933.0,10001,0.7500731597622127
11655636#0-AddedOnRampEdge,-27202663#2,4.654841667220156,639.0,2549.0,4222.0,5940.0,7415.0,8513.0,9094.0,9440.0,9652.0,9761.0,9904,0.7143582917846909
1017363471,158020256#5,1.679795971301819,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.5496824968487398
-305689934#1,44779234#2,3.8834616351670985,89.0,575.0,1414.0,2464.0,3380.0,4207.0,4843.0,5349.0,5650.0,5863.0,6030,0.2054366563794047
203478088#0,22926846#0,1.5136335072305531,10.0,29.0,62.0,131.0,252.0,343.0,476.0,639.0,750.0,848.0,1039,0.18671173162781646
24975582#0,706139037,1.6840750648867773,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.37712089667595194
