,origin,destination,euclidean,nb_paths,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths
591,-275333339#2,4594482#0,11.976828549395693,10001,1.0,30.0,318.0,1034.0,1628.0,1571.0,1301.0,1159.0,1100.0,763.0
592,762535827,62253948#1,4.946242904959351,4400,120.0,452.0,457.0,307.0,286.0,220.0,209.0,329.0,465.0,403.0
593,46270718#0,210587462,2.271240179322575,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
594,-81114035#2,265297307#0,1.5264312178107031,138,4.0,8.0,8.0,4.0,8.0,11.0,17.0,13.0,11.0,23.0
595,-192123857#3,280474397#0,0.5640023429799239,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
596,22493469#0,-379396069#30,9.357774427252728,10001,16.0,130.0,331.0,425.0,466.0,468.0,580.0,734.0,845.0,885.0
597,192297049#1,263386396,12.394781926537132,10001,2.0,10.0,72.0,255.0,545.0,778.0,870.0,881.0,793.0,773.0
598,1092670934,-145038651#3,0.923765789233388,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
599,116051208,102161456,0.9405735612972458,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,698849918,-133644918#1,20.133115555989846,10001,1.0,6.0,83.0,353.0,898.0,1358.0,1441.0,1470.0,1212.0,1025.0
601,140233963,33806832#0,11.310465380430063,10001,3.0,44.0,252.0,583.0,898.0,1110.0,1131.0,1181.0,1269.0,1141.0
602,111509272,237849096#1,12.152188955454468,10001,5.0,20.0,122.0,497.0,1344.0,1954.0,1885.0,1533.0,1162.0,702.0
603,-191971490#1,1086753669#0,1.5398032559510797,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604,520623302,-437923969#1,2.1259616618922283,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
605,378465233#0,274957206,3.506739508707535,8278,0.0,56.0,526.0,626.0,496.0,521.0,767.0,694.0,628.0,363.0
606,183971278#4,-577584841,14.250510980204652,10001,3.0,18.0,108.0,301.0,560.0,836.0,1179.0,1241.0,1217.0,1067.0
607,-188692577,200154472#0,3.879778350225711,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
608,29210362,145038766,2.4980115271925856,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
609,122666767,-59547550#10,9.206737176078166,9926,318.0,1051.0,1251.0,1360.0,1511.0,1391.0,999.0,730.0,408.0,240.0
610,900439225#2,248637557,1.3272968271233636,42,3.0,4.0,10.0,10.0,3.0,4.0,0.0,1.0,1.0,4.0
611,-257917686#1,44130918,19.048092937750816,10001,1.0,0.0,25.0,274.0,883.0,1738.0,2141.0,1925.0,1383.0,907.0
612,-39894345#3,722583957,20.860465152906045,10001,1.0,5.0,74.0,718.0,1845.0,2662.0,2339.0,1419.0,662.0,199.0
613,1086753710,243051430#2,0.91256549498952,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
614,-430748702#1,280020565#2,1.3711318306637104,3207,42.0,125.0,235.0,405.0,546.0,590.0,419.0,230.0,206.0,162.0
615,15281601#0,297192626#0,3.2530512114903085,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
616,55936540,340526137,2.7103682683548813,786,9.0,16.0,14.0,14.0,73.0,159.0,210.0,160.0,100.0,21.0
617,-120066554#2,352969051#0,18.08418517220402,10001,1.0,1.0,45.0,241.0,687.0,1188.0,1337.0,1263.0,1260.0,1269.0
618,250328448,-34761131#1,1.331275969612093,14,4.0,4.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
619,4969364,394317168,2.365362695829139,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
620,4969364,244949437#2,5.786635240745457,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
621,-173043026#1,166257405,1.142793127932251,872,5.0,3.0,25.0,27.0,90.0,84.0,146.0,111.0,123.0,100.0
622,866179825#4,41432291#0,3.505570384440852,5201,6.0,34.0,178.0,437.0,719.0,864.0,855.0,806.0,506.0,335.0
623,-77767390#4,-190028554,2.1153372281746408,4714,43.0,104.0,355.0,752.0,918.0,897.0,680.0,428.0,263.0,150.0
624,353021172#0,-33421760#2,21.79096682776284,10001,1.0,3.0,45.0,158.0,447.0,1110.0,1754.0,1897.0,1608.0,1179.0
625,618513216,329347634,4.820803226978875,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
